file_path(string),gt_class(string),gt_box(string),pd_class(string),pd_box(string),pd_score(float),frame_idx_in_file(int)
2007_000332.jpg,horse,"{'x_left': 0.108, 'y_top': 0.15015015015015015, 'x_right': 0.57, 'y_bottom': 0.7867867867867868}",,,,0
2007_000332.jpg,,,horse,"{'x_left': 0.11769399238632275, 'y_top': 0.13517592633485798, 'x_right': 0.5807204250272421, 'y_bottom': 0.8126517154457018}",0.87299013,0
2007_000333.jpg,train,"{'x_left': 0.002, 'y_top': 0.11711711711711711, 'x_right': 0.734, 'y_bottom': 0.8108108108108109}",,,,0
2007_000333.jpg,,,train,"{'x_left': 0.35968242893079155, 'y_top': 0.2236896128985515, 'x_right': 0.7053166929552417, 'y_bottom': 0.8013558095087454}",0.91782975,0
2007_000346.jpg,bottle,"{'x_left': 0.248, 'y_top': 0.2853333333333333, 'x_right': 0.46, 'y_bottom': 0.9146666666666666}",,,,0
2007_000346.jpg,person,"{'x_left': 0.274, 'y_top': 0.208, 'x_right': 0.994, 'y_bottom': 1.0}",,,,0
2007_000346.jpg,person,"{'x_left': 0.178, 'y_top': 0.5386666666666666, 'x_right': 0.258, 'y_bottom': 0.6586666666666666}",,,,0
2007_000346.jpg,person,"{'x_left': 0.144, 'y_top': 0.5573333333333333, 'x_right': 0.222, 'y_bottom': 0.6906666666666667}",,,,0
2007_000346.jpg,,,person,"{'x_left': 0.4765530905145865, 'y_top': 0.19697066515225636, 'x_right': 0.9741375182436063, 'y_bottom': 1.0}",0.8238926,0
2007_000346.jpg,,,bottle,"{'x_left': 0.26758224534073705, 'y_top': 0.31031569833278655, 'x_right': 0.46370014474022847, 'y_bottom': 0.9727803400454154}",0.82866657,0
2007_000346.jpg,,,bottle,"{'x_left': 0.06603066648600192, 'y_top': 0.6710428307690988, 'x_right': 0.2948179804115341, 'y_bottom': 0.9657472063860526}",0.1457359,0
2007_000363.jpg,bird,"{'x_left': 0.118, 'y_top': 0.04504504504504504, 'x_right': 0.44, 'y_bottom': 0.7177177177177178}",,,,0
2007_000363.jpg,bird,"{'x_left': 0.322, 'y_top': 0.3663663663663664, 'x_right': 1.0, 'y_bottom': 1.0}",,,,0
2007_000363.jpg,,,bird,"{'x_left': 0.11539202363614853, 'y_top': 0.07611824017304641, 'x_right': 0.4242745098340053, 'y_bottom': 0.757551922064561}",0.8076503,0
2007_000363.jpg,,,bird,"{'x_left': 0.2759127154579529, 'y_top': 0.34624100771248345, 'x_right': 1.0, 'y_bottom': 0.9730541143607635}",0.924733,0
2007_000364.jpg,motorbike,"{'x_left': 0.108, 'y_top': 0.06666666666666667, 'x_right': 0.908, 'y_bottom': 0.84}",,,,0
2007_000364.jpg,motorbike,"{'x_left': 0.636, 'y_top': 0.09866666666666667, 'x_right': 0.978, 'y_bottom': 0.42933333333333334}",,,,0
2007_000364.jpg,person,"{'x_left': 0.738, 'y_top': 0.0026666666666666666, 'x_right': 0.916, 'y_bottom': 0.3466666666666667}",,,,0
2007_000364.jpg,,,car,"{'x_left': 0.6780108764465039, 'y_top': 0.0, 'x_right': 0.7694068962867443, 'y_bottom': 0.07088486748303359}",0.121413164,0
2007_000364.jpg,,,person,"{'x_left': 0.7006381218851758, 'y_top': 0.004505951783106893, 'x_right': 0.9165006306853432, 'y_bottom': 0.34897723453521723}",0.72280174,0
2007_000364.jpg,,,motorbike,"{'x_left': 0.08926959248597804, 'y_top': 0.181375107949743, 'x_right': 0.8967055171278806, 'y_bottom': 0.856507394312666}",0.94050694,0
2007_000392.jpg,horse,"{'x_left': 0.2, 'y_top': 0.2891566265060241, 'x_right': 0.71, 'y_bottom': 0.9759036144578314}",,,,0
2007_000392.jpg,person,"{'x_left': 0.396, 'y_top': 0.1746987951807229, 'x_right': 0.572, 'y_bottom': 0.5933734939759037}",,,,0
2007_000392.jpg,,,person,"{'x_left': 0.1470772050857544, 'y_top': 0.34870537619716846, 'x_right': 0.20548194417953491, 'y_bottom': 0.4664249080021794}",0.5594004,0
2007_000392.jpg,,,person,"{'x_left': 0.4185956797662836, 'y_top': 0.1642765349006653, 'x_right': 0.573336611484679, 'y_bottom': 0.6877575295389615}",0.78898436,0
2007_000392.jpg,,,horse,"{'x_left': 0.2959576176769688, 'y_top': 0.36194465222936417, 'x_right': 0.674028720204853, 'y_bottom': 0.9202089083357041}",0.8913024,0
2007_000392.jpg,,,person,"{'x_left': 0.9400698163071504, 'y_top': 0.6600473703086376, 'x_right': 1.0, 'y_bottom': 0.9796941971563375}",0.14643553,0
2007_000423.jpg,person,"{'x_left': 0.102, 'y_top': 0.21333333333333335, 'x_right': 0.244, 'y_bottom': 0.7093333333333334}",,,,0
2007_000423.jpg,person,"{'x_left': 0.734, 'y_top': 0.24533333333333332, 'x_right': 0.922, 'y_bottom': 0.84}",,,,0
2007_000423.jpg,,,person,"{'x_left': 0.952925425906594, 'y_top': 0.09134087498829913, 'x_right': 0.9942274179355457, 'y_bottom': 0.4530229538174776}",0.24234192,0
2007_000423.jpg,,,person,"{'x_left': 0.11308367307340869, 'y_top': 0.21889901863061467, 'x_right': 0.22474753985066828, 'y_bottom': 0.7287583395572809}",0.743826,0
2007_000423.jpg,,,person,"{'x_left': 0.679634407795576, 'y_top': 0.23122953209033376, 'x_right': 0.9591747687961505, 'y_bottom': 0.8962029013681412}",0.78350484,0
2007_000452.jpg,sofa,"{'x_left': 0.1, 'y_top': 0.32266666666666666, 'x_right': 0.59, 'y_bottom': 0.9013333333333333}",,,,0
2007_000452.jpg,chair,"{'x_left': 0.948, 'y_top': 0.37333333333333335, 'x_right': 1.0, 'y_bottom': 0.7573333333333333}",,,,0
2007_000452.jpg,,,cat,"{'x_left': 0.38942548628609913, 'y_top': 0.36406045135498044, 'x_right': 0.5676830778156335, 'y_bottom': 0.6302161455946702}",0.23242591,0
2007_000452.jpg,,,sofa,"{'x_left': 0.06930697659332019, 'y_top': 0.2634095910699551, 'x_right': 0.6162293896493086, 'y_bottom': 0.9363119653734794}",0.9341347,0
2007_000452.jpg,,,chair,"{'x_left': 0.9434108223443994, 'y_top': 0.36270803191340883, 'x_right': 0.9929299406742821, 'y_bottom': 0.7778288219869136}",0.11090478,0
2007_000464.jpg,cow,"{'x_left': 0.18933333333333333, 'y_top': 0.504, 'x_right': 0.576, 'y_bottom': 0.628}",,,,0
2007_000464.jpg,cow,"{'x_left': 0.15466666666666667, 'y_top': 0.404, 'x_right': 0.6426666666666667, 'y_bottom': 0.59}",,,,0
2007_000464.jpg,,,cow,"{'x_left': 0.14604358973411413, 'y_top': 0.41918554380050066, 'x_right': 0.6535716008452269, 'y_bottom': 0.6077674473182971}",0.8744846,0
2007_000480.jpg,person,"{'x_left': 0.586, 'y_top': 0.432, 'x_right': 0.838, 'y_bottom': 1.0}",,,,0
2007_000480.jpg,person,"{'x_left': 0.228, 'y_top': 0.44, 'x_right': 0.456, 'y_bottom': 0.9946666666666667}",,,,0
2007_000480.jpg,person,"{'x_left': 0.01, 'y_top': 0.45866666666666667, 'x_right': 0.232, 'y_bottom': 0.9946666666666667}",,,,0
2007_000480.jpg,aeroplane,"{'x_left': 0.004, 'y_top': 0.18133333333333335, 'x_right': 0.972, 'y_bottom': 0.8666666666666667}",,,,0
2007_000480.jpg,,,aeroplane,"{'x_left': 0.04884268957101384, 'y_top': 0.18139353194603558, 'x_right': 0.945942953969882, 'y_bottom': 0.8263295427469106}",0.9017522,0
2007_000480.jpg,,,person,"{'x_left': 0.010667233065343812, 'y_top': 0.48084354409217833, 'x_right': 0.2196680988147855, 'y_bottom': 0.9981584181294074}",0.7287126,0
2007_000480.jpg,,,person,"{'x_left': 0.2169596095566566, 'y_top': 0.4754964197371557, 'x_right': 0.4621314175931307, 'y_bottom': 0.9897935856533051}",0.82863104,0
2007_000480.jpg,,,person,"{'x_left': 0.5617865759164096, 'y_top': 0.4752516540791438, 'x_right': 0.8714389503430862, 'y_bottom': 0.9953047884750366}",0.8752481,0
2007_000491.jpg,cow,"{'x_left': 0.004, 'y_top': 0.005988023952095809, 'x_right': 0.918, 'y_bottom': 1.0}",,,,0
2007_000491.jpg,,,cow,"{'x_left': 0.07735478390455247, 'y_top': 0.05091972778347825, 'x_right': 0.896911795613399, 'y_bottom': 0.9452489635948951}",0.96315634,0
2007_000504.jpg,cow,"{'x_left': 0.682, 'y_top': 0.24757281553398058, 'x_right': 1.0, 'y_bottom': 0.9854368932038835}",,,,0
2007_000504.jpg,person,"{'x_left': 0.072, 'y_top': 0.0825242718446602, 'x_right': 0.158, 'y_bottom': 0.29854368932038833}",,,,0
2007_000504.jpg,person,"{'x_left': 0.004, 'y_top': 0.10679611650485436, 'x_right': 0.072, 'y_bottom': 0.2912621359223301}",,,,0
2007_000504.jpg,person,"{'x_left': 0.058, 'y_top': 0.10194174757281553, 'x_right': 0.082, 'y_bottom': 0.1553398058252427}",,,,0
2007_000504.jpg,,,person,"{'x_left': 0.02783378526854973, 'y_top': 0.08724954371232252, 'x_right': 0.15202951863121528, 'y_bottom': 0.4486298894427373}",0.41220915,0
2007_000504.jpg,,,cow,"{'x_left': 0.6600558507201764, 'y_top': 0.22888608035527747, 'x_right': 1.0, 'y_bottom': 0.9230264896444174}",0.84929764,0
2007_000515.jpg,bicycle,"{'x_left': 0.002, 'y_top': 0.5306666666666666, 'x_right': 0.08, 'y_bottom': 0.7813333333333333}",,,,0
2007_000515.jpg,person,"{'x_left': 0.002, 'y_top': 0.22666666666666666, 'x_right': 0.058, 'y_bottom': 0.744}",,,,0
2007_000515.jpg,car,"{'x_left': 0.128, 'y_top': 0.43733333333333335, 'x_right': 0.302, 'y_bottom': 0.56}",,,,0
2007_000515.jpg,car,"{'x_left': 0.294, 'y_top': 0.44533333333333336, 'x_right': 0.372, 'y_bottom': 0.5333333333333333}",,,,0
2007_000515.jpg,,,person,"{'x_left': 0.0, 'y_top': 0.2815160892765338, 'x_right': 0.08672462252728068, 'y_bottom': 0.7228871717614394}",0.35013837,0
2007_000515.jpg,,,car,"{'x_left': 0.12389738730925781, 'y_top': 0.46176250492277054, 'x_right': 0.28502159864444, 'y_bottom': 0.5717957078710199}",0.6623964,0
2007_000515.jpg,,,car,"{'x_left': 0.299689585426679, 'y_top': 0.45965296816436146, 'x_right': 0.37719451097570933, 'y_bottom': 0.5283841091158299}",0.5106812,0
2007_000515.jpg,,,car,"{'x_left': 0.38444745176445977, 'y_top': 0.45928219067591886, 'x_right': 0.4348438326866581, 'y_bottom': 0.5066673630338449}",0.48799765,0
2007_000515.jpg,,,car,"{'x_left': 0.4685760512385231, 'y_top': 0.46720482055137935, 'x_right': 0.5171942659858327, 'y_bottom': 0.5117821992442585}",0.10493231,0
2007_000515.jpg,,,bicycle,"{'x_left': 0.0041720493075939336, 'y_top': 0.4558801317792673, 'x_right': 0.06796657653428041, 'y_bottom': 0.8094075013463313}",0.21946038,0
2007_000528.jpg,cat,"{'x_left': 0.248, 'y_top': 0.18133333333333335, 'x_right': 0.638, 'y_bottom': 0.8266666666666667}",,,,0
2007_000528.jpg,,,cat,"{'x_left': 0.2506263547782256, 'y_top': 0.18371325499351204, 'x_right': 0.613466572934435, 'y_bottom': 0.8120018679629839}",0.90093285,0
2007_000528.jpg,,,pottedplant,"{'x_left': 0.5117161013998435, 'y_top': 0.14295478713494075, 'x_right': 0.9689151950514316, 'y_bottom': 0.8690588958173531}",0.299408,0
2007_000528.jpg,,,bottle,"{'x_left': 0.7869765605834814, 'y_top': 0.7973830444656886, 'x_right': 0.8555633165744635, 'y_bottom': 1.0}",0.42849293,0
2007_000529.jpg,boat,"{'x_left': 0.58, 'y_top': 0.38133333333333336, 'x_right': 1.0, 'y_bottom': 0.6666666666666666}",,,,0
2007_000529.jpg,car,"{'x_left': 0.844, 'y_top': 0.632, 'x_right': 0.922, 'y_bottom': 0.68}",,,,0
2007_000529.jpg,,,aeroplane,"{'x_left': 0.023877270617851887, 'y_top': 0.29274507137559924, 'x_right': 0.9631872285035941, 'y_bottom': 1.0}",0.40378094,0
2007_000549.jpg,cat,"{'x_left': 0.0026666666666666666, 'y_top': 0.098, 'x_right': 0.9093333333333333, 'y_bottom': 0.998}",,,,0
2007_000549.jpg,,,cat,"{'x_left': 0.0417240530362496, 'y_top': 0.07084386997589698, 'x_right': 0.9226206914626635, 'y_bottom': 0.9493691379510439}",0.8838717,0
2007_000559.jpg,bottle,"{'x_left': 0.072, 'y_top': 0.6756756756756757, 'x_right': 0.158, 'y_bottom': 0.9567567567567568}",,,,0
2007_000559.jpg,tvmonitor,"{'x_left': 0.32, 'y_top': 0.07027027027027027, 'x_right': 0.742, 'y_bottom': 0.6513513513513514}",,,,0
2007_000559.jpg,,,tvmonitor,"{'x_left': 0.28119061787816196, 'y_top': 0.07009768936744104, 'x_right': 0.7391952985382997, 'y_bottom': 0.6633908153357873}",0.75743407,0
